player_id,player_name,first_name,last_name,salary
307,Brandon Knight,Brandon,Knight,14631250
308,Kevin Knox,Kevin,Knox,3744840
309,Furkan Korkmaz,Furkan,Korkmaz,1740000
310,Luke Kornet,Luke,Kornet,1619260
311,Kyle Korver,Kyle,Korver,7560000
312,Kosta Koufos,Kosta,Koufos,8739500
313,Rodions Kurucs,Rodions,Kurucs,1690000
314,Kyle Kuzma,Kyle,Kuzma,1689840
315,Skal Labissiere,Skal,Labissiere,1544951
316,Jeremy Lamb,Jeremy,Lamb,7000000
317,Zach LaVine,Zach,LaVine,19500000
318,Jake Layman,Jake,Layman,1544951
319,TJ Leaf,TJ,Leaf,2407560
320,Courtney Lee,Courtney,Lee,12253780
321,Damion Lee,Damion,Lee,77250
322,Walter Lemon,Walter,Lemon,176250
323,Alex Len,Alex,Len,4350000
324,Kawhi Leonard,Kawhi,Leonard,23114066
325,Meyers Leonard,Meyers,Leonard,10595506
326,Jon Leuer,Jon,Leuer,10002681
327,Caris LeVert,Caris,LeVert,1702800
328,Damian Lillard,Damian,Lillard,27977689
329,Jeremy Lin,Jeremy,Lin,12516746
330,Shaun Livingston,Shaun,Livingston,8307692
331,Zach Lofton,Zach,Lofton,77250
332,Naz Long,Naz,Long,77250
333,Kevon Looney,Kevon,Looney,1567007
334,Robin Lopez,Robin,Lopez,14357750
335,Brook Lopez,Brook,Lopez,3382000
336,Kevin Love,Kevin,Love,24119025
337,Kyle Lowry,Kyle,Lowry,32700000
338,Jordan Loyd,Jordan,Loyd,77250
339,Kalin Lucas,Kalin,Lucas,648008
340,Timothe Luwawu,Timothe,Luwawu,1880268
341,Tyler Lydon,Tyler,Lydon,1874640
342,Trey Lyles,Trey,Lyles,3364249
343,Scott Machado,Scott,Machado,76236
344,Shelvin Mack,Shelvin,Mack,2512601
345,Daryl Macon,Daryl,Macon,77250
346,JP Macura,JP,Macura,77250
347,Ian Mahinmi,Ian,Mahinmi,16000000
348,Thon Maker,Thon,Maker,2799720
349,Boban Marjanovic,Boban,Marjanovic,9490740
350,Lauri Markkanen,Lauri,Markkanen,4536120
351,Jarell Martin,Jarell,Martin,2416221
352,Frank Mason,Frank,Mason,1378242
